Card Name,Art File,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit,Tags
Abyss Watcher,AbyssWatcher.png,Undead,Uncommon,9 bones,2,2,"Double Strike, Horde",,,Zombie,Guardians of unknowable depths.,"Murigen, Ixams",
Wight,Wight.png,Undead,Uncommon,9 bones,2,2,Legion,,,Zombie,"A venerable commander, more so in death.",Murigen,
Abomination,Abomination.png,Undead,Uncommon,10 bones,1,7,"Attack Conduit, Stinky",,,Zombie Conduit Construct,Cobbled together from skin and bone.,Pixel Profligate,
Creaking Skull,CreakingSkull.png,Undead,Uncommon,11 bones,3,4,Bone King,,,Skeleton,Bones rattle in the night.,Murigen,
Apparition,Apparition.png,Undead,Uncommon,4 energy,1,1,"Horde, Scrounger",,,Spectre,"Prankish and playful, but oh so spiteful.",Murigen,
Phantom Mass,PhantomMass.png,Undead,Uncommon,8 energy,0,3,Spirit Spread,,,Spectre,A conglomeration of tortured souls.,Pixel Profligate,
Undead Cat,UndeadCat.png,Undead,Uncommon,4 blood,3,6,Unkillable,,,Zombie,Poor creature... how it has suffered.,Pixel Profligate,
Bone Heap,BoneHeap.png,Undead,Rare,2 bones,0,1,Enlarge,,,Skeleton,A mass of marrow and carrion.,Pixel Profligate,
Bone Lord's Horn,BoneLordsHorn.png,Undead,Rare,3 bones,0,1,Bonehorn,,,Demon,This is a rather... interesting boon.,Pixel Profligate,
Drowned Soul,DrownedSoul.png,Undead,Rare,3 bones,1,1,"Touch of Death, Waterborne",,,Spectre,A shame no one was there to save them.,Pixel Profligate,
Slinger's Soul,SlingersSoul.png,Undead,Rare,6 bones,3,1,Energy Gun,,,Spectre,A stalwart spirit sharpshooter.,Desaft,
Tomb Robber,TombRobber.png,Undead,Rare,3 bones,0,2,Disentomb,,,,A little investment goes a long way.,Pixel Profligate,
Dead Hand,DeadHand.png,Undead,Rare,4 bones,1,1,Handy,,,Zombie,"Not all there, but carries a boon.",Pixel Profligate,
Long Elk,LongElk.png,Undead,Rare,5 bones,1,2,"Spine Walker, Touch of Death",,,Hooved Skeleton,Words cannot describe this... creature.,Pixel Profligate,
Necromancer,Necromancer.png,Undead,Rare,7 bones,0,2,"Double Death, Memoriam",,,Skeleton,"Back from the grave, if only briefly.",Pixel Profligate,
Night Shifters,NightShifters.png,Undead,Rare,5 bones,0,5,"Sprinter, Mass Grave, Rotting",,,Employee,"Working the graveyard shift, together.","Yoyo, Lilith",
Skeleton Army,SkeletonArmy.png,Undead,Rare,5 bones,1,1,,,Skeleton Army Trait,Skeleton,"A frenzied hoard, seeking vengeance.",Desaft,
Davy Jones,DavyJones.png,Undead,Rare,10 bones,2,3,"Looter, Sea Shanty",,,Skeleton Pirate Spectre,,"Desaft, Nevernamed",
Grave Knight,GraveKnight.png,Undead,Rare,9 bones,4,4,"Repulsive, Rotting",,,,"Sworn to protect, even from beyond.",PaperPyro,
Skeletaur,Skeletaur.png,Undead,Rare,11 bones,3,2,"Double Strike, Rampager",,,Hooved Skeleton,Its labyrinth became its tomb.,Pixel Profligate,
Headless Horseman,HeadlessHorseman.png,Undead,Rare,17 bones,5,5,"Airborne, Sprinter",,,Spectre,Striking fear into all who see him.,Pixel Profligate,
Gashadokuro,Gashadokuro.png,Undead,Rare,18 bones,6,6,Brittle,,Spine Ripper Trait,Skeleton,"The spite of a thousand bones, at once.",Murigen,
The Reaper,TheReaper.png,Undead,Rare,12 energy,0,2,"Touch of Death, Bell Ringer, Haunter",,,Skeleton Spectre,Your time is up.,Murigen,
Pumpkin King,PumpkinKing.png,Undead,Rare,3 blood,1,7,"Pay Tribute, Rooted",,,Noble Pumpkin,Always in need of bloody sacrifice.,Pixel Profligate,
Frozen Frame,FrozenFrame.png,Undead,Talking,3 bones,1,1,"Sharp Quills, Frozen Away",Draugr,,Skeleton,"""Dude! Maybe turn up the heat a little?""",Pixel Profligate,
Gnawed Remains,GnawedRemains.png,Undead,Talking,3 bones,0,3,Chew Toy,,Gnawed Remains Trait,Skeleton,"""P-Please don't play me...""",Pixel Profligate,
Scurvy Cap'n,ScurvyCapn.png,Undead,Talking,3 bones,1,2,"Skeleton Crew, Sea Shanty",,,Skeleton Pirate,"""I git t'live out me dream as a card!""",Pixel Profligate,
Burnt Body,BurntBody.png,Undead,Talking,4 bones,1,4,"Raging Flames, Sharp Quills",,,Zombie,"""Oh cool, it's me. Great.""",Pixel Profligate,
Grave Mason,GraveMason.png,Undead,Talking,4 bones,1,4,Haunted Stonework,,,,"""Craft your vision.""",Murigen,
Bones Malone,BonesMalone.png,Undead,Talking,5 bones,2,1,"Sniper, Rattle 'em!",,,Skeleton,"""Piracy is stealing! I love stealing!""","Yoyo, Bluemem, NEWS",
Star Weaver,StarWeaver.png,Undead,Talking,5 bones,1,4,"Equivalent Exchange, Gift Bearer",,,Skeleton,"""From dust I am born, to dust I succumb.""",Pixel Profligate,
Unlucky Corpse,UnluckyCorpse.png,Undead,Talking,6 bones,2,2,Unearthed Pack,,,Zombie,"""Wow, great draw!""",Pixel Profligate,
Witness of Ember,WitnessofEmber.png,Undead,Talking,10 bones,2,2,"Double Strike, Pack Tactics",Abyss Watcher,Abyss Cost,Zombie Canine,"""Allow me to finish our calling.""",Murigen,
Unseelie Queen,UnseelieQueen.png,Undead,Talking,2 blood,2,2,"Unseelie Authority, Witching Hour",,,Noble,"""Cower! It is now the Witching Hour!""",Herilind,
L33pbot,L33pbot.png,Tech,Side Deck,free,0,2,Mighty Leap,,Bloodless,Leep Bot,Strong springs for jumping into action.,Pixel Profligate,bloodless_bg
Null Conduit,NullConduit.png,Tech,Side Deck,1 energy,0,2,,,Bloodless,Conduit,"Transfers power, but not much else.",Pixel Profligate,bloodless_bg
Sentry Drone,SentryDrone.png,Tech,Side Deck,1 energy,0,1,Sentry,,Bloodless,Machine,Shoots anything that gets close.,Pixel Profligate,bloodless_bg
Junk-0,Junk0.png,Tech,Common,1 energy,0,1,Stinky,,,Android,It's odd for rust to smell this bad.,Pixel Profligate,
Automaton,Automaton.png,Tech,Common,2 energy,1,1,,,,Bot,The most basic in function and form.,Pixel Profligate,
Boom-o-latcher,Boomolatcher.png,Tech,Common,2 energy,0,1,LATCHER_Detonator,,,Latcher,Loading others with extreme explosives.,Pixel Profligate,
Pop-up Blocker,PopupBlocker.png,Tech,Common,2 energy,0,1,"Burrower, Armored",,,,Your damage request has been denied.,Answearing Machine,
Draugear,Draugear.png,Tech,Common,2 energy,0,1,Frozen Away,ExeSkeleton,Bloodless,Possessed Machine,"Cold, but not calculating.",Desaft,bloodless_bg
Energy Bot,EnergyBot.png,Tech,Common,2 energy,0,1,Battery Bearer,,,Bot,Full of energy that it cannot use.,Pixel Profligate,
Gift Bot,GiftBot.png,Tech,Common,2 energy,0,2,Gift Bearer,,,Bot,What could it be hiding from you?,Pixel Profligate,
Billdozer,Billdozer.png,Tech,Common,2 energy,0,3,Bulldoze,,,Machine,"Well-meaning, but notoriously pushy.",syntaxevasion,
Sparkplug,Sparkplug.png,Tech,Common,2 energy,0,2,Dynamo,,,Bot,A surprisingly helpful piece of tech.,Murigen,
49er,49er.png,Tech,Common,3 energy,1,1,Sprinter,,,Android,"On the move, searching for something.",Pixel Profligate,
Alarm Bot,AlarmBot.png,Tech,Common,3 energy,2,1,Annoying,,,Bot,"Universally reviled, but always on time.",Pixel Profligate,
Bone Mill,BoneMill.png,Tech,Common,3 energy,0,2,Fossil Fuel,,,Machine,Also useful for producing glue.,Desaft,
Cable Latcher,CableLatcher.png,Tech,Common,3 energy,1,2,LATCH_Null Conduit,,,Conduit Latcher,Just barely able to make a connection.,Murigen,
Healing Conduit,HealingConduit.png,Tech,Common,3 energy,0,2,Heal Conduit,,,Conduit,"An old model, but nonetheless effective.",Pixel Profligate,
Insectodrone,Insectodrone.png,Tech,Common,3 energy,1,2,Airborne,,,Bot,The buzz of its flight is irritating.,Pixel Profligate,
Kind Cell,KindCell.png,Tech,Common,3 energy,1,2,CELL_Generosity Bearer,,,Cell,It might be feeling generous.,Pixel Profligate,
M34t Bot,M34tBot.png,Tech,Common,3 energy,0,2,Hearty Offering,,,Bot,A... curious bot indeed.,Pixel Profligate,
Marrow Cell,MarrowCell.png,Tech,Common,3 energy,1,1,CELL_Bone Digger,,,Cell,All bones obtained legally.*,Murigen,
Pipe Bomb,PipeBomb.png,Tech,Common,3 energy,0,2,"Detonator, Rotting",,Pipe Bomb Trait,Machine,Good play. Unfortunately...,Answearing Machine,
Solar Cell,SolarCell.png,Tech,Common,3 energy,1,2,CELL_Generator,,,Cell,"Making renewable energy, with no waste.",Murigen,
Scrapton,Scrapton.png,Tech,Common,3 energy,1,2,Made of Stone,,,Bot,"Heavy and sluggish, but extremely solid.",Murigen,
Guardian Cell,GuardianCell.png,Tech,Common,4 energy,0,2,CELL_Fuse Cover,,,,Protective of what fuels them.,NULL,
Shield Latcher,ShieldLatcher.png,Tech,Common,3 energy,0,1,LATCH_Armored,,,Latcher,Protecting others better than itself.,Pixel Profligate,
Sniper Bot,SniperBot.png,Tech,Common,3 energy,1,1,Sniper,,,Android,"Easy to aim, easy to shoot.",Pixel Profligate,
50-nar,50nar.png,Tech,Common,3 energy,1,1,Takeoff Transformer,,,Mechabeast Vermin,Its irritating screeches are unbearable.,Pixel Profligate,
Qu177,Qu177.png,Tech,Common,3 energy,1,2,Spiky Transformer,,,Mechabeast Vermin,An ornery little tin can.,Pixel Profligate,
Blood Conduit,BloodConduit.png,Tech,Common,3 energy,0,2,Blood Conduit,,,Conduit,Even blood contains iron.,Murigen,
Tough Cell,ToughCell.png,Tech,Common,3 energy,1,1,CELL_Empowered,,,Cell,Now you're playing with power.,Pixel Profligate,
Exeskeleton,Exeskeleton.png,Tech,Common,4 energy,2,2,Brittle,,,Skeleton Android,A frail and spooky mass of scrap metal.,Desaft,
Explode Bot,ExplodeBot.png,Tech,Common,4 energy,1,1,Detonator,,,Bot,A bump could set it off.,Pixel Profligate,
Factory Conduit,FactoryConduit.png,Tech,Common,4 energy,0,3,Spawn Conduit,,,Conduit,"Even in battle, the line does not stop.",Pixel Profligate,
Overcharger,Overcharger.png,Tech,Common,4 energy,2,2,"Brittle, Detonator, Death Surge",,,Skeleton Android,It could blow at any moment...,Desaft,
Shield Bot,ShieldBot.png,Tech,Common,4 energy,1,1,Armored,,,Bot,"Surprisingly sturdy, given its size.",Pixel Profligate,
Splinter Cell,SplinterCell.png,Tech,Common,4 energy,1,1,CELL_Trifurcated Strike,,,Cell,We couldn't fit a fourth strike.,Pixel Profligate,
Buff Conduit,BuffConduit.png,Tech,Common,4 energy,0,2,Attack Conduit,,,Conduit,Sometimes they need a little extra juice.,Pixel Profligate,
Mox Memory Unit,MoxMemoryUnit.png,Tech,Common,5 energy,0,4,Green Conduit,,,Mox Conduit,Emeralds are great for data tracking.,Pixel Profligate,
Mox Hardware Unit,MoxHardwareUnit.png,Tech,Common,5 energy,0,4,Orange Conduit,,,Mox Conduit,Rubies make for great energy conductors.,Pixel Profligate,
Mox Processing Unit,MoxProcessingUnit.png,Tech,Common,5 energy,0,4,Blue Conduit,,,Mox Conduit,Sapphires empower calculations.,Pixel Profligate,
Nucl34pbot,Nucl34pbot.png,Tech,Common,5 energy,0,4,"Mighty Leap, Generator, Dynamo, Rotting",,,Leep Machine,It cannot handle its own energy.,"Murigen, Nevernamed",
Skel-e-latcher,Skelelatcher.png,Tech,Common,5 energy,1,1,LATCH_Brittle,,Brittle Latcher Fix,Latcher,Full of neurotoxins.,Pixel Profligate,
Thick Droid,ThickDroid.png,Tech,Common,5 energy,1,3,Bastion,,,Android,It's just happy to be here.,Pixel Profligate,
K-9,K9.png,Tech,Common,5 energy,1,2,Empowered Transformer,,,Mechabeast Canine,A vicious and twisted metal construct.,Pixel Profligate,
Paper Shredder,PaperShredder.png,Tech,Common,5 energy,0,2,"Desecration, Sharp Quills",,,Machine,For complete and proper disposal.,,
4ntdroid,4ntdroid.png,Tech,Common,6 energy,0,1,Deathtrap,,,Ant Insect Mechabeast,A scuttling little worker machine.,Pixel Profligate,
Nanoarmor Conduit,NanoarmorConduit.png,Tech,Common,6 energy,0,2,Armor Conduit,,,Conduit,Even works against explosives.,Desaft,
Steel Mice,SteelMice.png,Tech,Common,6 energy,1,2,Fecundity,,,Mechabeast Vermin,Keep their wires from getting tangled.,Pixel Profligate,
Max Energy Keeper,MaxEnergyKeeper.png,Tech,Common,6 energy,0,5,No Max Reduction,,,Android,Can this be any more straightforward?,Murigen,
Bolthound,Bolthound.png,Tech,Common,7 energy,2,3,Guardian,,,Canine Mechabeast Hound,A vicious and protective bucket of bolts.,Pixel Profligate,
C-Diver,CDiver.png,Tech,Common,7 energy,1,4,"Aquanaut, Armored",,,Android,"Works deep, even deeper than the Dredger.",Pixel Profligate,
Gunbot,Gunbot.png,Tech,Common,1 max + 7 energy,4,1,Piercing,,Gunbot Trait,Bot,Built for one singular function.,Pixel Profligate,
Technoripper,Technoripper.png,Tech,Common,1 max + 7 energy,3,1,Piercing,,,Android,A violent bot of claws and bullets.,Pixel Profligate,
Core-v1d,Corev1d.png,Tech,Common,1 max + 8 energy,1,3,Takeoff Transformer,,,Mechabeast Avian,A metallic blight upon the skies.,Pixel Profligate,
Gamblobot,Gamblobot.png,Tech,Common,2 max + 7 energy,X,1,,,Dice Power,Machine,Push your luck. What could go wrong?,Pixel Profligate,
L33p Launcher,L33pLauncher.png,Tech,Common,4 max + 7 energy,0,2,Yeetbot,L33pbot,,Machine,Springloaded for causing problems.,syntaxevasion,
Rooktank,Rooktank.png,Tech,Common,2 max + 8 energy,1,5,Iron Wall,,,Chess,The best offense is a good defense.,Desaft,
Steambot,Steambot.png,Tech,Common,2 max + 8 energy,3,2,Hefty,,,Android,"Once a fighter, always a fighter.",Pixel Profligate,
Swapbot,Swapbot.png,Tech,Common,2 max + 8 energy,2,5,Swapper,,,Bot,Reconfigures itself to suit its mood.,Pixel Profligate,
Double Gunner,DoubleGunner.png,Tech,Common,2 max + 9 energy,2,1,Bifurcated Strike,,,Android,"Twice the guns, twice the power.",Pixel Profligate,
Gift Bot EX,GiftBotEX.png,Tech,Common,2 max + 9 energy,1,3,"Mighty Leap, Generosity Bearer",,,Bot,Just one was never enough.,Murigen,
Observer,Observer.png,Tech,Common,2 max + 9 energy,1,5,Sniper,,,Android,"Sees all it can, where it can.",Pixel Profligate,
Security System,SecuritySystem.png,Tech,Common,2 max + 9 energy,0,3,Offense Upgrade,,,Machine,Makes its routine virus scan.,Murigen,
Firewall,Firewall.png,Tech,Common,1 max + 10 energy,0,5,"Burrower, Rampager, Sharp Quills",,,Machine,Nothing gets through without permission.,Pixel Profligate,
Johnny,Johnny.png,Tech,Common,2 max + 10 energy,3,1,Stinky,,,Bot,"Surprisingly clean, as no one uses him.",Answearing Machine,
The Cube,TheCube.png,Tech,Common,2 max + 10 energy,3,3,Swapper,,,Machine,The Cube.,Answearing Machine,
Archiver,Archiver.png,Tech,Common,3 max + 10 energy,1,2,"Re-Index, Defiler",,,Android,An intelligence dedicated to sorting files.,Desaft,
Mecha Warrior,MechaWarrior.png,Tech,Common,3 max + 10 energy,2,2,"Double Strike, Warper",,,Android,An ultra high-power model.,Murigen,
Overseer,Overseer.png,Tech,Common,2 max + 12 energy,1,4,"Bifurcated Strike, Sentry, Sprinter",,,Android,Prowls factories searching intruders.,Murigen,
Ducky,Ducky.png,Tech,Common,3 max + 12 energy,2,3,"Waterborne, Annoying, Raging Flames",,,Avian Mechabeast,"This is ducky, the big one.",,
Steel Jaw,SteelJaw.png,Tech,Common,3 max + 12 energy,1,3,"Bloodsucker, Raging Flames, Deathtrap",,,Android,You can't hold it back forever.,Murigen,
Exeskelemagbot,Exeskelemagbot.png,Tech,Uncommon,free,4,1,"Gem Dependent, Circuit Dependent",,,Skeleton Android Wizard,"It's not magic, it just needs extra juice.",Desaft,
Important File,ImportantFile.png,Tech,Uncommon,1 energy,1,1,"Search Engine, Death Sentence",,Captive File Trait,Bot,Best not let it die.,Pixel Profligate,
Bad Fish,BadFish.png,Tech,Uncommon,3 energy,0,1,"Brittle, Annoying",,,Mechabeast Fish,"An inefficient use of power, at best.",Pixel Profligate,
Conveyor Bot,ConveyorBot.png,Tech,Uncommon,4 energy,0,1,"Restructure, Haunter",,,Machine Bot,Efficiency demands motion.,Murigen,
C0pp3r-h34d,C0pp3rh34d.png,Tech,Uncommon,5 energy,1,3,Lethal Transformer,,,Mechabeast Reptile,Provides a violent shock to the system.,Pixel Profligate,
Blood Bank,BloodBank.png,Tech,Uncommon,6 energy,0,2,"Hearty Offering, Life Donor, Convalesce, Sprinter",,,Machine,Blood is a resource and commodity.,Desaft,
Good Fish,GoodFish.png,Tech,Uncommon,5 energy,1,1,"Waterborne, Sniper Transformer",,,Mechabeast Fish,,Merson,
E1337bot,E1337bot.png,Tech,Uncommon,1 max + 8 energy,1,3,"Mighty Leap, Leep Leader",,,Leep Pirate,Takes problems into its own hands.,Murigen,
Magnethead,Magnethead.png,Tech,Uncommon,2 max + 11 energy,2,1,"Piercing, Looter, Annoying",,,Bot,Gathers up scrap through brute force.,Murigen,
Acid Squirrel,AcidSquirrel.png,Tech,Uncommon,12 energy,0,1,Unkillable,,,Mechabeast Vermin,"It uses... I dunno, quantum mechanics?",Murigen,
Very Big L33pbot,VeryBigL33pbot.png,Tech,Uncommon,2 max + 12 energy,1,4,"Mighty Leap, Sentry, Poisonous",,,Leep,"Clunky, inefficient, and reeks of fumes.",Murigen,
Plasma Jimmy,PlasmaJimmy.png,Tech,Rare,2 energy,0,3,Energy Gun,,,Bot,"Shoots on command, without hesitation.",Pixel Profligate,
Amoebot,Amoebot.png,Tech,Rare,3 energy,1,1,Amorphous,,,Bot,Adapts and reforms as needed.,Pixel Profligate,
Borg Poly-worg,BorgPolyworg.png,Tech,Rare,3 energy,0,3,"Armored, Mighty Leap, Leep Legion",,,Amphibian Android,Frog. Frog. Frog. Frog.,Pixel Profligate,
Curve Hopper,CurveHopper.png,Tech,Rare,4 energy,2,3,,,,Android,Statistically very powerful for its cost.,Pixel Profligate,
Energy Conduit,EnergyConduit.png,Tech,Rare,3 energy,1,2,"Energy Conduit, Generator",,,Conduit,Infinite power at your fingertips.,Pixel Profligate,
Gr1zz,Gr1zz.png,Tech,Rare,6 energy,0,4,Enraged Transformer,,,Mechabeast,"A true beast, replicated by machinery.",Pixel Profligate,
Ourobot,Ourobot.png,Tech,Rare,6 energy,2,2,Immortal Transformer,,,Mechabeast Reptile,"The eternal android, unyielding by design.",Pixel Profligate,
Overclock Conduit,OverclockConduit.png,Tech,Rare,6 energy,0,2,Overclock Conduit,,,Conduit,"Infinite power, itty bitty circuit space.",Desaft,
Sgt. T. Rustbucket III,Sgt.T.RustbucketIII.png,Tech,Rare,6 energy,1,1,Legion,,,Android,Has got quite the portfolio.,Murigen,
Shutterbug,Shutterbug.png,Tech,Rare,6 energy,1,1,"Sentry, Touch of Death",,,Machine,One photo to capture your last moment.,Pixel Profligate,
L33pbot NEO,L33pbotNEO.png,Tech,Rare,7 energy,2,2,"Mighty Leap, Airborne, Leep Leader",,,Leep Avian,The strongest springs.,Murigen,
Mrs. Bomb,Mrs.Bomb.png,Tech,Rare,7 energy,1,1,Remote Bomb,,,Android,"A bombshell, through and through.",Pixel Profligate,
Quickdraw Bot,QuickdrawBot.png,Tech,Rare,3 max + 10 energy,2,2,"Sniper, Touch of Death",,,Android,Its internal clock is set to high noon.,Desaft,
Titanium Titan,TitaniumTitan.png,Tech,Rare,3 max + 12 energy,2,7,"Made of Stone, Overcharge",,,Android,A perfect weapon of mass destruction.,PaperPyro,
The Mechanism,TheMechanism.png,Tech,Rare,4 max + 12 energy,0,2,"Overpower, Death Sentence",,,Machine,The solution/cause to all your problems.,Murigen,
Assemblotron Primus,AssemblotronPrimus.png,Tech,Rare,3 blood,3,3,"Sniper, Armored",,Assemblotron Cost,Android,"Together, we are might!",Murigen,
Dredger,Dredger.png,Tech,Talking,4 energy,1,2,"Aquanaut, Overclocked",,,Android,"""Oi, lookit. I'm somefin' uv a card.""",Pixel Profligate,
Inspector,Inspector.png,Tech,Talking,4 energy,1,2,Search Engine,,,Conduit Android,"""I suppose your deck is adequate.""",Pixel Profligate,
Maintenance Droid,MaintenanceDroid.png,Tech,Talking,5 energy,1,3,Hotfix,,,Conduit Android,"""Doesn't matter. I'll just make it again.""",Answearingmachine,
Melter,Melter.png,Tech,Talking,5 energy,2,3,"Frozen Away, Raging Flames",M34t Bot,,Android,"""WE ARE-- I am... a good card.""",Pixel Profligate,
Holo-Trader,HoloTrader.png,Tech,Talking,6 energy,1,3,B34st Tamer,,Search Mechabeast,,"""The true beasts are no more.""",Pixel Profligate,
Blue Bot,BlueBot.png,Tech,Talking,1 max + 7 energy,X,3,Snake Eyes,,Dice Power,Android,"""I have a 1 in 36 chance of being meta!""",Bluemem,
Steven,Steven.png,Tech,Talking,1 max + 8 energy,2,2,"Attack Conduit, Null Conduit, Haunter",,,Noble,"""Oh, and employee? You're Fired.""",Murigen,
Bolt Van Tankski,BoltVanTankski.png,Tech,Talking,1 max + 11 energy,1,7,Sentry,,,Android,"""Bolt Van Tankski reporting for duty.""",,
Cyber Hero,CyberHero.png,Tech,Talking,3 max + 12 energy,1,3,"Trifurcated Strike, Sniper Transformer",,,Android,"""I've got it all, and then some!""",Murigen,
Emerald Mox,EmeraldMox.png,Magick,Side Deck,free,0,1,Green Gem,,Bloodless,Mox,A conduit for magicks of the body.,Pixel Profligate,bloodless_bg
Ruby Mox,RubyMox.png,Magick,Side Deck,free,0,1,Orange Gem,,Bloodless,Mox,A conduit for magicks of the soul.,Pixel Profligate,bloodless_bg
Sapphire Mox,SapphireMox.png,Magick,Side Deck,free,0,1,Blue Gem,,Bloodless,Mox,A conduit for magicks of the mind.,Pixel Profligate,bloodless_bg
Prism Mox,PrismMox.png,Magick,Common,free,0,1,Prism Gem,,Bloodless,Mox,A powerful conduit for all magicks.,Pixel Profligate,bloodless_bg
Erratic Scholar,ErraticScholar.png,Magick,Common,1 prism,1,1,Mox Dropper,,,,Constantly losing their own research.,Pixel Profligate,
Mage Pupil,MagePupil.png,Magick,Common,free,1,2,Gem Dependent,,,Mage,A new learner of magicks.,Pixel Profligate,
Antimagician,Antimagician.png,Magick,Common,1 shattered prism,2,2,"Purist, Gem Dependent",,,Wizard,Some magicks simply must be stopped.,Pixel Profligate,
Mirror Mage,MirrorMage.png,Magick,Common,1 prism,X,2,,,Mirror Power,Mage,A pure reflection of one's own flaws.,Pixel Profligate,
Spell Slinger,SpellSlinger.png,Magick,Common,1 prism,1,1,"Gem Dependent, Sniper",,,Mage,Adept at casting spells from a distance.,Pixel Profligate,
Stasis Mage,StasisMage.png,Magick,Common,1 prism,0,1,Frozen Away,Spell Slinger,Bloodless,Mage,Has time to reconsider their study field.,Pixel Profligate,bloodless_bg
Magic Missile,MagicMissile.png,Magick,Uncommon,2 shattered prisms,1,1,"Trifurcated Strike, Sniper, Brittle",,,,A well-known incantation.,Murigen,
Grand Astrologer,GrandAstrologer.png,Magick,Rare,2 prisms,1,4,"Event Horizon, All-Sight",,Diamond Cost,Wizard,"They see all, as it is bare before them.",Pixel Profligate,
Flawless Clockwork,FlawlessClockwork.png,Magick,Rare,3 prisms,3,3,"Made of Stone, Bastion",,Diamond Cost,Mox Construct,An immaculate construct of perfect mox.,Pixel Profligate,
Brush Mage,BrushMage.png,Magick,Talking,1 prism,1,2,Overcoat,,,Mage,"""Lemme give that a new coat of paint!""",Pixel Profligate,
Alchemist,Alchemist.png,Magick,Common,1 emerald,0,2,"Transmogutate, RAINBOW, Leader",,,Wizard,Recklessly practices transmutation.,Murigen,
Fabergé Frog,FabergéFrog.png,Magick,Common,1 emerald,1,1,"Sentry, Familiar",,,Amphibian,A small agent of small magicks.,Pixel Profligate,
Gloom Virtuoso,GloomVirtuoso.png,Magick,Common,1 emerald,1,1,Glooming Dust,,,Wizard,"Saddening, artistic talent put to war.",Murigen,
Green Mage,GreenMage.png,Magick,Common,1 emerald,X,2,,,Gem Power,Mage,They are powered directly by gems.,Pixel Profligate,
Jade Automata,JadeAutomata.png,Magick,Common,1 emerald,1,1,Heart of Dust,,Bloodless,Construct,A hardy construct fueled by mox.,Pixel Profligate,bloodless_bg
Junior Sage,JuniorSage.png,Magick,Common,1 emerald,1,2,,,,Sage,A new learner of the body's magicks.,Pixel Profligate,
Muscle Mage,MuscleMage.png,Magick,Common,1 emerald,0,2,"Hefty, Empowered Transformer",,,Mage,Just loves to push people around.,Pixel Profligate,
Shade Soul,ShadeSoul.png,Magick,Common,1 emerald,0,1,Dust Gatherer,,,Mage Spectre,They collect magickal remnants.,Murigen,
Tenebrose Vessel,TenebroseVessel.png,Magick,Common,1 emerald,0,2,Body of Dust,,,Aberration,A faithful provider of their own body.,Murigen,
Stim Mage,StimMage.png,Magick,Common,1 emerald,0,2,Stimulate,,,Mage,Can push themselves beyond their limits.,Pixel Profligate,
Twilight Magus,TwilightMagus.png,Magick,Common,1 emerald,0,2,Sparkling Dust,,,Mage,Wells of power sleep in fragments.,syntaxevasion,
Corpsebloom Overgrowth,CorpsebloomOvergrowth.png,Magick,Common,2 emeralds,1,1,"Stinky, RAINBOW, Fledgling",Terror of Verdure,,Flower Aberration,,Murigen,
Druid,Druid.png,Magick,Common,1 emerald + 1 prism,0,3,Lifeblood,,,Mox Sage,Magic is the heart of nature.,Murigen,
Senior Sage,SeniorSage.png,Magick,Common,1 emerald + 1 prism,1,3,Upbringing,,,Sage,Here to welcome the new generation.,Murigen,
Splitmind Maniac,SplitmindManiac.png,Magick,Common,1 emerald + 1 prism,1,3,"Split Strike, RAINBOW, Shadow Hand",,,Aberration Wizard,Fractured and maddened by the unknown.,Murigen,
Waxmelt Scrivener,WaxmeltScrivener.png,Magick,Common,1 emerald + 1 prism,1,3,Amorphous,,,Corrupted Sage,Barely able to copy inscriptions.,Murigen,
Crystalline Carrier,CrystallineCarrier.png,Magick,Common,1 emerald + 2 prisms,X,3,Fragment Hoard,,Gem Power,Corrupted,Magick brought them to life.,Murigen,
Garish Geode,GarishGeode.png,Magick,Common,1 shattered emerald,0,2,"Green Gem, Green Gem, Fragment Hoard",,Bloodless,Mox,A formation high in magickal power.,Murigen,bloodless_bg
Umbral Servant,UmbralServant.png,Magick,Common,1 emerald,0,1,"Familiar, Dust Power, Heart of Dust",,,Aberration Sage,Hardly stands on its own.,Herilind,
Veiled Scourge,VeiledScourge.png,Magick,Common,1 shattered emerald,0,3,Dust Power,,,Corrupted Wizard,A lowly hermit gleaning from scraps.,Murigen,
Dark Abjurer,DarkAbjurer.png,Magick,Common,1 shattered emerald + 1 shattered prism,0,3,"Sentry, Sharp Quills, Bloodlust",,,Aberration Wizard,The corpses it makes fuel it with power.,Murigen,
Fleeting Conjuror,FleetingConjuror.png,Magick,Common,1 shattered emerald + 1 shattered prism,X,2,"Double Strike, Brittle",,Gem Power,Wizard Spectre,Powerful magick in a fleeting form.,Pixel profligate,
Terror of Verdure,TerrorofVerdure.png,Magick,Uncommon,4 emeralds,2,5,"Snag, Bloodlust",,,Flower Aberration,The might of the jungle has awoken.,Murigen,
Shadow Boxer,ShadowBoxer.png,Magick,Uncommon,1 shattered prism + 1 shattered emerald,2,2,Dusted Knuckles,,,Wizard,They'll knock the magick out of you.,Bluemem,
Folding Weaver,FoldingWeaver.png,Magick,Rare,1 shattered emerald + 1 shattered prism,1,3,Infinifold,,,Wizard Wizard Wizard Wizard Wizard Wizard,"A self similar magick, honed to infinity.",Bluemem,
Gloam Archmagus,GloamArchmagus.png,Magick,Rare,1 emerald + 1 prism,1,2,Dooming Dust,,,Wizard,All things good must end...,Herilind,
